Date; time; Left actuator; Right actuator
11.25.2015; 16:54:46; 0; 0
11.25.2015; 16:54:46; 0; 0
11.25.2015; 16:54:46; 0; 0
11.25.2015; 16:54:46; 0; 0
11.25.2015; 16:54:46; 0; 0
11.25.2015; 16:54:46; 0; 0
11.25.2015; 16:54:46; 0; 0
11.25.2015; 16:54:47; 0; 0
11.25.2015; 16:54:47; 0; 0
11.25.2015; 16:54:47; 0; 0
11.25.2015; 16:54:47; 0; 0
11.25.2015; 16:54:47; 0; 0
11.25.2015; 16:54:47; 0; 0
11.25.2015; 16:54:47; 0; 0
11.25.2015; 16:54:47; 0; 0
11.25.2015; 16:54:47; 0; 0
11.25.2015; 16:54:48; 0; 0
11.25.2015; 16:54:48; 0; 0
11.25.2015; 16:54:48; 0; 0
11.25.2015; 16:54:48; 0; 0
11.25.2015; 16:54:48; 0; 0
11.25.2015; 16:54:48; 0; 0
11.25.2015; 16:54:48; 0; 0
11.25.2015; 16:54:48; 0; 0
11.25.2015; 16:54:48; 0; 0
11.25.2015; 16:54:49; 0; 0
11.25.2015; 16:54:49; 0; 0
11.25.2015; 16:54:49; 0; 0
11.25.2015; 16:54:49; 0; 0
11.25.2015; 16:54:49; 0; 0
11.25.2015; 16:54:49; 0; 0
11.25.2015; 16:54:49; 0; 0
11.25.2015; 16:54:49; 0; 0
11.25.2015; 16:54:49; 0; 0
11.25.2015; 16:54:50; 0; 0
11.25.2015; 16:54:50; 0; 0
11.25.2015; 16:54:50; 0; 0
11.25.2015; 16:54:50; 0; 0
11.25.2015; 16:54:50; 0; 0
11.25.2015; 16:54:50; 0; 0
11.25.2015; 16:54:50; 0; 0
11.25.2015; 16:54:50; 0; 0
11.25.2015; 16:54:50; 0; 0
11.25.2015; 16:54:51; 0; 0
11.25.2015; 16:54:51; 0; 0
11.25.2015; 16:54:51; 0; 0
11.25.2015; 16:54:51; 0; 0
11.25.2015; 16:54:51; 0; 0
11.25.2015; 16:54:51; 0; 0
11.25.2015; 16:54:51; 0; 0
11.25.2015; 16:54:51; 0; 0
11.25.2015; 16:54:51; 0; 0
11.25.2015; 16:54:51; 0; 0
11.25.2015; 16:54:52; 0; 0
11.25.2015; 16:54:52; 0; 0
11.25.2015; 16:54:52; 0; 0
11.25.2015; 16:54:52; 0; 0
11.25.2015; 16:54:52; 0; 0
11.25.2015; 16:54:52; 0; 0
11.25.2015; 16:54:52; 0; 0
11.25.2015; 16:54:52; 0; 0
11.25.2015; 16:54:52; 0; 0
11.25.2015; 16:54:53; 0; 0
11.25.2015; 16:54:53; 0; 0
11.25.2015; 16:54:53; 0; 0
11.25.2015; 16:54:53; 0; 0
11.25.2015; 16:54:53; 0; 0
11.25.2015; 16:54:53; 0; 0
11.25.2015; 16:54:53; 0; 0
11.25.2015; 16:54:53; 0; 0
11.25.2015; 16:54:53; 0; 0
11.25.2015; 16:54:54; 0; 0
11.25.2015; 16:54:54; 0; 0
11.25.2015; 16:54:54; 0; 0
11.25.2015; 16:54:54; 0; 0
11.25.2015; 16:54:54; 0; 0
11.25.2015; 16:54:54; 0; 0
11.25.2015; 16:54:54; 0; 0
11.25.2015; 16:54:54; 0; 0
11.25.2015; 16:54:54; 0; 0
11.25.2015; 16:54:55; 0; 0
11.25.2015; 16:54:55; 0; 0
11.25.2015; 16:54:55; 0; 0
11.25.2015; 16:54:55; 0; 0
11.25.2015; 16:54:55; 0; 0
11.25.2015; 16:54:55; 0; 0
